time,ACME__IP,AHEJ3_IP,APTFL_IP,ASPS2_IP,ASPS1_IP,AVADA_IP,AWPS1_IP,BIKNR_IP,MRPL__IP,MSUPL_IP,RAWRA_IP,RJ3PL_IP,RNEWJ_IP,RSBPL_IP,RSRPL_IP,RSUPL_IP,SPCEP_IP,SPRJ__NT,SURJA_IP,TPREL_IP,TS1PL_IP
2022-06-10 10:30:00.000,0.9108990896518911,0.0,0.912691031409253,0.9119605324618237,0.0,0.9330895520675827,0.9110492279763119,0.9334882881644297,0.8971267920200707,0.8998656405393908,0.918251447460421,0.799732546343263,0.8935752724615875,0.8952435317105187,0.93326443742953,0.8987784374005017,0.9316410887312929,0.9140319449436303,0.925863190652897,0.0,0.9310956175024279
2022-06-10 10:30:00.040,0.9142134087474159,0.0,0.9159531235306972,0.9162648400315091,0.8959507590377143,0.9356134483500228,0.0,0.9360185707845918,0.8985298514492174,0.9013433939675634,0.9215338666433023,0.8039441728918811,0.8957171736244819,0.8974219695218872,0.9358470751593,0.9009116209161496,0.9342207042695134,0.9182087042159731,0.9267633867584844,0.0,0.9336500194194298
2022-06-10 10:30:00.080,0.9178532711720754,0.0,0.9196262967789819,0.9209612742197365,0.8985528769667117,0.9384464940713062,0.9200459275600651,0.9388587850994835,0.9002919572202169,0.9030961517770214,0.9252331587089955,0.8090473116296228,0.8982756593180713,0.9000499034592891,0.9386880229423228,0.9034433145169534,0.9371098496591435,0.9229142411797174,0.9291463893049628,0.0,0.9364969525828446
2022-06-10 10:30:00.120,0.9217394332267619,0.0,0.9235070910885466,0.9258585582009092,0.9012863179966469,0.0,0.9251903527769338,0.9418538661153245,0.9022922542615974,0.9050169880860053,0.9291408265810983,0.8144886101632389,0.9010090924508015,0.9027952819483555,0.9416838774196816,0.9062093766879774,0.9401536999376936,0.927884074704875,0.9300995779941765,0.9132429651179252,0.9395437649638168
2022-06-10 10:30:00.160,0.9256743325794093,0.0,0.0,0.9307529763873701,0.9041251477959189,0.9444215371603691,0.9304292145816976,0.9448489471311654,0.9043441209870899,0.9070620140354326,0.9331006338762006,0.8200528758953549,0.9039492816311462,0.9055859510717543,0.0,0.9091558692315196,0.9431976102530284,0.9328539697555158,0.932853220525679,0.0,0.9425795098988291
2022-06-10 10:30:00.200,0.9295230604940267,0.0,0.9311928028619032,0.935563188878026,0.9070935880442768,0.9474090587049006,0.9354701594584176,0.9477924059133566,0.906466243823408,0.9092024161689087,0.0,0.825909188723908,0.9069560399998265,0.9084799450686097,0.9476755863743992,0.912211670134698,0.9461899522746178,0.9377709562687625,0.9337534166391537,0.0,0.9455305253962719
2022-06-10 10:30:00.240,0.9332393104376331,0.0,0.9348938792054304,0.0,0.9103145821240334,0.950242104426184,0.940209276391826,0.9506326202282482,0.9089462602635805,0.9116028080805367,0.9407075331828805,0.832349595745335,0.9101146122552844,0.9116842726758261,0.950516534157422,0.9154801211211366,0.949027469333718,0.9424764317148984,0.9367718988502212,0.9168680677901425,0.9484011053933762
2022-06-10 10:30:00.280,0.936746512593826,0.0,0.9383673862222192,0.944679843039816,0.9139841666060106,0.9529205424626545,0.9446087907640898,0.95331783564697,0.9119577478089558,0.91438579892581,0.9441983888032875,0.8397891112545729,0.9137998943606683,0.9154076178377994,0.9532024430167494,0.9191584187652592,0.9517618497976432,0.9468118550581908,0.9376720949558085,0.0,0.9511111167595788
2022-06-10 10:30:00.320,0.9398475300146053,0.0,0.9413763311874518,0.9484217223878505,0.9181598985664559,0.955290028852629,0.9485187114248087,0.9556932515661829,0.9153611042794829,0.9175265872485914,0.0,0.8483199606504965,0.9180752625816362,0.9196506984962217,0.9555268368079463,0.9234271724417953,0.9541350720796291,0.9505657152236542,0.9407435081351627,0.0,0.9535267220706447
2022-06-10 10:30:00.360,0.9422207694212966,0.0,0.9437147451850548,0.9514317255454611,0.9228819028003565,0.957144332108647,0.9517232184962324,0.9575523129536775,0.9190063528997209,0.9210278477157192,0.9495649298602432,0.8576500968366688,0.9228043253945113,0.9243256256886611,0.9574380138515542,0.9282413938879681,0.9560439395477162,0.9536321951601245,0.94164370424075,0.9207808947320375,0.955481849217411
2022-06-10 10:30:00.400,0.9438636784706106,0.0,0.0,0.9537190596645834,0.9278898574162685,0.0,0.9540769349972383,0.9589465759454933,0.9229387536590208,0.9248880606340169,0.9512322394748615,0.867364505518153,0.9277843630771277,0.9291942795473719,0.0,0.9332313917560782,0.9574368839158435,0.9558528153652276,0.9446621248364778,0.0,0.9568942483570292
2022-06-10 10:30:00.440,0.9449721179427922,0.0,0.9463870784645092,0.9550314125026792,0.9327502799906294,0.9594622606267564,0.9555331655785234,0.9598244183079805,0.9270165809313995,0.9287471185786529,0.9522742397846626,0.8769866888007624,0.9326443954891516,0.9340230872171584,0.9597624076427512,0.938076878254897,0.9582623969039974,0.9571745442584771,0.9455623825652921,0.0,0.9578083102135073
2022-06-10 10:30:00.480,0.9455454801407623,0.0,0.9469263547367858,0.9552891514585459,0.9374755871808595,0.9599258199580654,0.9561047683768978,0.9602892167036593,0.930891223644494,0.9323194400767539,0.9527952702512411,0.886193857788435,0.9372749600102944,0.9387476127400304,0.9602272599551187,0.9427414570445124,0.0,0.9575975048829651,0.948474879609107,0.9246585932376453,0.9582990877645738
